Round,Overall,Player,Team,Year,Pos,School
1,19,Zack Thompson, Cardinals,2019,LHP,Kentucky
1,19,Daniel Susac, Athletics,2022,C,Arizona
1,19,Nolan Gorman, Cardinals,2018,2B,Sandra Day O'Connor HS
1,19,Gunnar Hoglund, Blue Jays,2021,RHP,Ole Miss
1,19,Pete Crow-Armstrong, Mets,2020,OF,Harvard-Westlake HS
1,20,Trey Sweeney, Yankees,2021,SS,Eastern Illinois
1,20,Garrett Mitchell, Brewers,2020,OF,UCLA
1,20,Trevor Larnach, Twins,2018,OF,Oregon State
1,20,George Kirby, Mariners,2019,RHP,Elon University
1,20,Owen Murphy, Braves,2022,RHP,Riverside Brookfield
1,21,Jordan Wicks, Cubs,2021,LHP,Kansas State
1,21,Brice Turang, Brewers,2018,2B,Santiago HS
1,21,Cole Young, Mariners,2022,SS,North Allegheny HS
1,21,Braden Shewmake, Braves,2019,SS,Texas A&M
1,21,Jordan Walker, Cardinals,2020,OF,Decatur HS
1,22,Cade Cavalli, Nationals,2020,RHP,Oklahoma
1,22,Cooper Hjerpe, Cardinals,2022,LHP,Oregon State
1,22,Colson Montgomery, White Sox,2021,SS,Southridge HS
1,22,Ryan Rolison, Rockies,2018,LHP,Ole Miss
1,22,Greg Jones, Rays,2019,SS,UNC Wilmington
1,23,Anthony Seigler, Yankees,2018,C,Cartersville HS
1,23,Carson Tucker, Guardians,2020,SS,Mountain Pointe HS
1,23,Gavin Williams, Guardians,2021,RHP,East Carolina
1,23,Brandon Barriera, Blue Jays,2022,LHP,American Heritage School
1,23,Michael Toglia, Rockies,2019,OF,UCLA
1,24,Ryan Cusick, Braves,2021,RHP,Wake Forest
1,24,Daniel Espino, Guardians,2019,RHP,Georgia Premier Academy
1,24,Mikey Romero, Red Sox,2022,SS,Orange Lutheran HS
1,24,Nick Bitsko, Rays,2020,RHP,Central Bucks HS East
1,24,Nico Hoerner, Cubs,2018,2B,Stanford
1,25,Kody Hoese, Dodgers,2019,3B,Tulane
1,25,Jared Shuster, Braves,2020,LHP,Wake Forest
1,25,Spencer Jones, Yankees,2022,OF,Vanderbilt
1,25,Matt McLain, D-backs,2018,SS,Beckman HS
1,25,Max Muncy, Athletics,2021,SS,Thousand Oaks HS
1,26,Blake Walston, D-backs,2019,LHP,New Hanover HS
1,26,Noah Schultz, White Sox,2022,LHP,Oswego East HS
1,26,Triston Casas, Red Sox,2018,1B,American Heritage School
1,26,Chase Petty, Twins,2021,RHP,Mainland Regional HS
1,26,Tyler Soderstrom, Athletics,2020,C,Turlock HS
1,27,Ryan Jensen, Cubs,2019,RHP,Fresno State
1,27,Mason Denaburg, Nationals,2018,RHP,Merritt Island HS
1,27,Eric Brown Jr., Brewers,2022,SS,Coastal Carolina
1,27,Aaron Sabato, Twins,2020,1B,North Carolina
1,27,Jackson Merrill, Padres,2021,SS,Severna Park HS
1,28,Seth Beer, Astros,2018,1B,Clemson
1,28,Austin Wells, Yankees,2020,C,Arizona
1,28,Ethan Small, Brewers,2019,LHP,Mississippi State
1,28,Carson Williams, Rays,2021,SS,Torrey Pines HS
1,28,Drew Gilbert, Astros,2022,OF,Tennessee
1,29,Xavier Isaac, Rays,2022,1B,East Forsyth HS
1,29,Maddux Bruns, Dodgers,2021,LHP,UMS Wright Prep School
1,29,Logan Davidson, Athletics,2019,SS,Clemson
1,29,Bobby Miller, Dodgers,2020,RHP,Louisville
1,29,Bo Naylor, Guardians,2018,C,St Joan of Arc Catholic SS
1,30,J.T. Ginn, Dodgers,2018,RHP,Brandon HS
1,30,Anthony Volpe, Yankees,2019,SS,Delbarton School
1,30,Jordan Westburg, Orioles,2020,3B,Mississippi State
1,30,Reggie Crawford, Giants,2022,LHP,Connecticut
1,30,Jay Allen II, Reds,2021,OF,John Carroll HS
1,31,Shane McClanahan, Rays,2018,LHP,South Florida
1,31,Sterlin Thompson, Rockies,2022,OF,Florida
1,31,Michael Busch, Dodgers,2019,2B,North Carolina
1,31,Joe Mack, Marlins,2021,C,Williamsville East HS
1,31,Carmen Mlodzinski, Pirates,2020,RHP,South Carolina
1,32,Ty Madden, Tigers,2021,RHP,Texas
1,32,Nick Loftin, Royals,2020,SS,Baylor
1,32,Korey Lee, Astros,2019,C,California
1,32,Sal Stewart, Reds,2022,3B,Westminster Christian School
1,32,Nick Schnell, Rays,2018,OF,Roncalli HS
1,33,Brennan Malone, D-backs,2019,RHP,IMG Academy HS
1,33,Slade Cecconi, D-backs,2020,RHP,Miami
1,33,Dylan Beavers, Orioles,2022,OF,California
1,33,Jackson Kowar, Royals,2018,RHP,Florida
1,33,Tyler Black, Brewers,2021,2B,Wright State University
1,34,Justin Lange, Padres,2020,RHP,Llano HS
1,34,Drey Jameson, D-backs,2019,RHP,Ball State
1,34,Daniel Lynch, Royals,2018,LHP,Virginia
1,34,Cooper Kinney, Rays,2021,2B,The Baylor Schools
1,34,Landon Sims, D-backs,2022,RHP,Mississippi State
1,35,Matheu Nelson, Reds,2021,C,Florida State
1,35,Drew Romo, Rockies,2020,C,The Woodlands HS
1,35,Ethan Hankins, Guardians,2018,RHP,Forsyth Central HS
2,35,JR Ritchie, Braves,2022,RHP,Bainbridge HS
2,35,Kameron Misner, Marlins,2019,OF,Missouri
2,36,JJ Goss, Rays,2019,RHP,Cypress Ranch HS
2,36,Thomas Harrington, Pirates,2022,RHP,Campbell University
2,36,Tanner Burns, Guardians,2020,RHP,Auburn
2,36,Noah Miller, Twins,2021,SS,Ozaukee HS
2,36,Gunnar Hoglund, Pirates,2018,RHP,Fivay HS
2,37,Anthony Solometo, Pirates,2021,LHP,Bishop Eustace Prep School
2,37,Cadyn Grenier, Orioles,2018,SS,Oregon State
2,37,Justin Campbell, Guardians,2022,RHP,Oklahoma State
2,37,Sammy Siani, Pirates,2019,OF,William Penn Charter School
2,37,Alika Williams, Rays,2020,SS,Arizona State
2,38,Dillon Dingler, Tigers,2020,C,Ohio State
2,38,Aaron Zavala, Rangers,2021,OF,Oregon
2,38,Xavier Edwards, Padres,2018,SS,North Broward Prep HS
2,38,Jordan Beck, Rockies,2022,OF,Tennessee
2,38,T.J. Sikkema, Yankees,2019,LHP,Missouri
2,39,Izaac Pacheco, Tigers,2021,SS,Friendswood HS
2,39,Hudson Haskin, Orioles,2020,OF,Tulane
2,39,Robby Snelling, Padres,2022,LHP,McQueen HS
2,39,Matt Wallner, Twins,2019,OF,Southern Mississippi
2,39,Jake McCarthy, D-backs,2018,OF,Virginia
2,40,Dax Fulton, Marlins,2020,LHP,Mustang HS
2,40,Jud Fabian, Red Sox,2021,OF,Florida
2,40,Dalton Rushing, Dodgers,2022,C,Louisville
2,40,Seth Johnson, Rays,2019,RHP,Campbell University
2,40,Kris Bubic, Royals,2018,LHP,Stanford
2,41,Connor Norby, Orioles,2021,2B,East Carolina
2,41,Cutter Coffey, Red Sox,2022,SS,Liberty HS
2,41,Ben Hernandez, Royals,2020,RHP,De La Salle Institute
2,41,Davis Wendzel, Rangers,2019,SS,Baylor
2,41,Lenny Torres Jr., Guardians,2018,RHP,Beacon HS
2,42,Max Wagner, Orioles,2022,3B,Clemson
2,42,Ryan Bliss, D-backs,2021,SS,Auburn
2,42,CJ Van Eyk, Blue Jays,2020,RHP,Florida State
2,42,Gunnar Henderson, Orioles,2019,3B,John T. Morgan Academy
2,42,Grant Lavigne, Rockies,2018,1B,Bedford HS
2,43,Cam Cannon, Red Sox,2019,2B,Arizona
2,43,Zach DeLoach, Mariners,2020,OF,Texas A&M
2,43,Ben Kudrna, Royals,2021,RHP,Blue Valley Southwest HS
2,43,Ivan Melendez, D-backs,2022,1B,Texas
2,43,Griffin Roberts, Cardinals,2018,RHP,Wake Forest
2,44,Parker Meadows, Tigers,2018,OF,Grayson HS
2,44,Jaden Hill, Rockies,2021,RHP,LSU
2,44,Hunter Barco, Pirates,2022,LHP,Florida
2,44,Jared Jones, Pirates,2020,RHP,La Mirada HS
2,44,Brady McConnell, Royals,2019,SS,Florida
2,45,Ky Bush, Angels,2021,LHP,St. Mary's College
2,45,Matthew Thompson, White Sox,2019,RHP,Cypress Ranch HS
2,45,Owen Caissie, Padres,2020,OF,Notre Dame Catholic SS
2,45,Jake Bennett, Nationals,2022,LHP,Oklahoma
2,45,Sean Hjelle, Giants,2018,RHP,Kentucky
2,46,Nasim Nunez, Marlins,2019,SS,Collins Hill HS
2,46,Calvin Ziegler, Mets,2021,RHP,TNXL Academy
2,46,Steele Walker, White Sox,2018,OF,Oklahoma
2,46,Chris McMahon, Rockies,2020,RHP,Miami
2,46,Jacob Miller, Marlins,2022,RHP,Liberty Union High School
2,47,Daylen Lile, Nationals,2021,OF,Trinity HS
2,47,Lyon Richardson, Reds,2018,RHP,Jensen Beach HS
2,47,Jared Kelley, White Sox,2020,RHP,Refugio HS
2,47,Jackson Ferris, Cubs,2022,LHP,IMG Academy HS
